min1,teammate1,min2,teammate2,min3,teammate3,min4,teammate4,min5,teammate5,nba_id,year
47.0,2735,38.0,201143,38.0,2585,27.0,101107,23.0,2746,201151,2008
241.0,2207,215.0,1710,196.0,2746,165.0,101107,164.0,2735,201143,2008
6.0,201151,6.0,200780,5.0,201238,5.0,101136,3.0,2585,200978,2008
241.0,201143,230.0,1710,209.0,2746,157.0,101107,154.0,2735,2207,2008
164.0,201143,154.0,2207,132.0,1710,123.0,2746,81.0,2585,2735,2008
209.0,2207,204.0,1710,196.0,201143,146.0,101107,123.0,2735,2746,2008
5.0,200780,5.0,200978,5.0,201151,3.0,101136,2.0,201143,201238,2008
165.0,201143,157.0,2207,150.0,1710,146.0,2746,78.0,2735,101107,2008
230.0,2207,215.0,201143,204.0,2746,150.0,101107,132.0,2735,1710,2008
23.0,2735,21.0,201143,14.0,201151,13.0,200780,10.0,2585,101136,2008
19.0,2735,17.0,201151,13.0,2585,13.0,101136,12.0,1710,200780,2008
2.0,101138,2.0,711,1.0,1904,1.0,1891,1.0,1717,1731,2008
81.0,2735,67.0,2207,58.0,1710,56.0,101107,53.0,201143,2585,2008
115.0,1899,112.0,1718,103.0,951,90.0,708,64.0,136,2067,2008
105.0,1899,75.0,1718,62.0,951,57.0,708,53.0,200765,201175,2008
359.0,708,323.0,951,318.0,1718,235.0,200765,230.0,208,1899,2008
573.0,708,565.0,951,559.0,1718,545.0,200765,127.0,1899,2570,2008
858.0,951,828.0,1718,762.0,200765,573.0,2570,359.0,1899,708,2008
205.0,1899,160.0,1718,158.0,951,129.0,208,114.0,708,200796,2008
239.0,1718,225.0,1899,216.0,951,152.0,200765,148.0,708,136,2008
828.0,708,764.0,951,735.0,200765,559.0,2570,318.0,1899,1718,2008
762.0,708,735.0,1718,729.0,951,545.0,2570,235.0,1899,200765,2008
858.0,708,764.0,1718,729.0,200765,565.0,2570,323.0,1899,951,2008
230.0,1899,158.0,951,148.0,1718,138.0,708,129.0,200796,208,2008
52.0,1899,34.0,2067,31.0,201175,26.0,200796,23.0,136,2754,2008
200.0,2544,167.0,200789,139.0,693,138.0,2753,94.0,1887,2760,2008
297.0,2544,278.0,2753,251.0,980,235.0,1887,63.0,200789,1112,2008
8.0,2484,8.0,101204,8.0,1800,4.0,2760,4.0,693,2873,2008
18.0,693,14.0,2562,13.0,101204,13.0,2484,12.0,2760,1800,2008
233.0,2544,187.0,693,167.0,2760,131.0,2753,130.0,980,200789,2008
402.0,2544,334.0,980,281.0,1887,278.0,1112,138.0,2760,2753,2008
77.0,200789,61.0,2760,57.0,693,47.0,2544,38.0,980,2484,2008
20.0,2484,16.0,693,13.0,1800,8.0,2562,8.0,2873,101204,2008
6.0,12039,6.0,1101162,4.0,1200755,4.0,12230,2.0,1200788,727,2008
1.0,201207,1.0,2788,1.0,200770,1.0,2756,,,1956,2008
225.0,2544,187.0,200789,139.0,2760,132.0,2753,113.0,1887,693,2008
402.0,2753,356.0,1887,354.0,980,297.0,1112,233.0,200789,2544,2008
82.0,2544,76.0,2753,64.0,693,52.0,2760,46.0,980,2562,2008
356.0,2544,284.0,980,281.0,2753,235.0,1112,113.0,693,1887,2008
354.0,2544,334.0,2753,284.0,1887,251.0,1112,130.0,200789,980,2008
116.0,1503,111.0,2203,107.0,2449,58.0,87,52.0,201171,1517,2008
113.0,2457,111.0,2561,102.0,101108,88.0,2199,82.0,201153,1719,2008
454.0,2561,419.0,978,389.0,2199,269.0,2050,187.0,2457,101108,2008
