player,url,bref_id,nba_id
Forest Able,https://www.basketball-reference.com/players/a/ablefo01.html,ablefo01,76006.0
Paul Arizin,https://www.basketball-reference.com/players/a/arizipa01.html,arizipa01,76056.0
Bob Armstrong,https://www.basketball-reference.com/players/a/armstbo01.html,armstbo01,76061.0
Jim Baechtold,https://www.basketball-reference.com/players/b/baechji01.html,baechji01,76081.0
John Barber,https://www.basketball-reference.com/players/b/barbejo01.html,barbejo01,76096.0
Ernie Beck,https://www.basketball-reference.com/players/b/becker01.html,becker01,76136.0
Irv Bemoras,https://www.basketball-reference.com/players/b/bemorir01.html,bemorir01,76145.0
Gary Bergen,https://www.basketball-reference.com/players/b/bergega01.html,bergega01,76156.0
Al Bianchi,https://www.basketball-reference.com/players/b/biancal01.html,biancal01,76160.0
Carl Braun,https://www.basketball-reference.com/players/b/braunca01.html,braunca01,76243.0
Bob Burrow,https://www.basketball-reference.com/players/b/burrobo01.html,burrobo01,76313.0
Nat Clifton,https://www.basketball-reference.com/players/c/cliftna01.html,cliftna01,76404.0
Jack Coleman,https://www.basketball-reference.com/players/c/colemja01.html,colemja01,76414.0
Ed Conlin,https://www.basketball-reference.com/players/c/conlied01.html,conlied01,76429.0
Larry Costello,https://www.basketball-reference.com/players/c/costela01.html,costela01,76454.0
Bob Cousy,https://www.basketball-reference.com/players/c/cousybo01.html,cousybo01,600003.0
Walt Davis,https://www.basketball-reference.com/players/d/daviswa01.html,daviswa01,76536.0
George Dempsey,https://www.basketball-reference.com/players/d/dempsge01.html,dempsge01,76555.0
Corky Devlin,https://www.basketball-reference.com/players/d/devlico01.html,devlico01,76561.0
Walter Dukes,https://www.basketball-reference.com/players/d/dukeswa01.html,dukeswa01,76611.0
Ray Felix,https://www.basketball-reference.com/players/f/felixra01.html,felixra01,76704.0
Ed Fleming,https://www.basketball-reference.com/players/f/flemied01.html,flemied01,76723.0
Larry Foust,https://www.basketball-reference.com/players/f/foustla01.html,foustla01,76744.0
Harry Gallatin,https://www.basketball-reference.com/players/g/gallaha01.html,gallaha01,76773.0
Dick Garmaker,https://www.basketball-reference.com/players/g/garmadi01.html,garmadi01,76783.0
Jack George,https://www.basketball-reference.com/players/g/georgja01.html,georgja01,76800.0
Joe Graboski,https://www.basketball-reference.com/players/g/grabojo01.html,grabojo01,76838.0
Si Green,https://www.basketball-reference.com/players/g/greensi01.html,greensi01,76877.0
Richie Guerin,https://www.basketball-reference.com/players/g/gueriri01.html,gueriri01,76902.0
Cliff Hagan,https://www.basketball-reference.com/players/h/hagancl01.html,hagancl01,76912.0
Alex Hannum,https://www.basketball-reference.com/players/h/hannual01.html,hannual01,76937.0
Bob Harrison,https://www.basketball-reference.com/players/h/harribo02.html,harribo02,76962.0
Tom Heinsohn,https://www.basketball-reference.com/players/h/heinsto01.html,heinsto01,76988.0
Dick Hemric,https://www.basketball-reference.com/players/h/hemridi01.html,hemridi01,76989.0
Larry Hennessy,https://www.basketball-reference.com/players/h/hennela01.html,hennela01,76998.0
Lew Hitch,https://www.basketball-reference.com/players/h/hitchle01.html,hitchle01,77032.0
Joe Holup,https://www.basketball-reference.com/players/h/holupjo01.html,holupjo01,77049.0
Bob Hopkins,https://www.basketball-reference.com/players/h/hopkibo01.html,hopkibo01,77052.0
Bob Houbregs,https://www.basketball-reference.com/players/h/houbrbo01.html,houbrbo01,77062.0
Mel Hutchins,https://www.basketball-reference.com/players/h/hutchme01.html,hutchme01,77089.0
Neil Johnston,https://www.basketball-reference.com/players/j/johnsne01.html,johnsne01,77169.0
Phil Jordon,https://www.basketball-reference.com/players/j/jordoph01.html,jordoph01,77210.0
Ed Kalafat,https://www.basketball-reference.com/players/k/kalafed01.html,kalafed01,77219.0
Billy Kenville,https://www.basketball-reference.com/players/k/kenvibi01.html,kenvibi01,77247.0
Red Kerr,https://www.basketball-reference.com/players/k/kerrre01.html,kerrre01,77248.0
Hal Lear,https://www.basketball-reference.com/players/l/learha01.html,learha01,77352.0
Slick Leonard,https://www.basketball-reference.com/players/l/leonasl01.html,leonasl01,77371.0
Earl Lloyd,https://www.basketball-reference.com/players/l/lloydea01.html,lloydea01,77394.0
Jim Loscutoff,https://www.basketball-reference.com/players/l/loscuji01.html,loscuji01,77409.0
Clyde Lovellette,https://www.basketball-reference.com/players/l/lovelcl01.html,lovelcl01,77414.0
Ed Macauley,https://www.basketball-reference.com/players/m/macaued01.html,macaued01,77429.0
Tom Marshall,https://www.basketball-reference.com/players/m/marshto01.html,marshto01,77467.0
Slater Martin,https://www.basketball-reference.com/players/m/martisl01.html,martisl01,77480.0
Johnny McCarthy,https://www.basketball-reference.com/players/m/mccarjo01.html,mccarjo01,77506.0
Dick McGuire,https://www.basketball-reference.com/players/m/mcguidi01.html,mcguidi01,77537.0
