Rk,player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,year,url,bref_id,nba_id
2,Don Adams,SF,26,DET,7,,256,5.5,14.4,0.384,,,,5.5,14.4,0.384,1.6,2.8,0.571,3.3,6.7,10.0,3.9,1.2,0.2,,5.1,12.6,,97.0,10.0,0.404,,0.192,7.4,12.9,10.4,11.1,1.2,0.2,,,-0.1,0.3,0.1,0.026,-1.0,-0.2,-1.2,0.1,1974,https://www.basketball-reference.com/players/a/adamsdo01.html,adamsdo01,76012.0
4,Dennis Awtrey,C,25,CHI,10,,158,3.8,8.8,0.429,,,,3.8,8.8,0.429,1.9,3.1,0.6,3.4,9.1,12.5,4.1,1.9,0.6,,6.6,9.4,,101.0,10.9,0.463,,0.357,6.6,21.9,13.4,11.6,1.9,0.7,,,0.0,0.1,0.1,0.034,-2.6,1.6,-1.0,0.0,1974,https://www.basketball-reference.com/players/a/awtrede01.html,awtrede01,76078.0
5,Henry Bibby,PG,24,NYK,10,0.0,89,8.7,24.5,0.356,,,,8.7,24.5,0.356,5.4,6.5,0.833,2.7,2.7,5.4,6.0,1.6,0.0,,8.2,22.9,,101.0,13.4,0.418,,0.267,5.7,6.3,6.0,19.6,1.6,0.0,,,-0.1,0.0,-0.1,-0.035,-2.6,-1.3,-3.9,0.0,1974,https://www.basketball-reference.com/players/b/bibbyhe01.html,bibbyhe01,76162.0
7,Tom Boerwinkle,C,28,CHI,2,,7,0.0,7.1,0.0,,,,0.0,7.1,0.0,14.1,14.1,1.0,0.0,7.1,7.1,0.0,0.0,0.0,,14.1,14.1,,107.0,4.9,0.532,,2.0,0.0,17.1,7.6,0.0,0.0,0.0,,,0.0,0.0,0.0,-0.086,-10.4,-1.0,-11.4,0.0,1974,https://www.basketball-reference.com/players/b/boerwto01.html,boerwto01,76192.0
9,Bill Bridges,PF,34,LAL,5,,144,3.9,13.2,0.293,,,,3.9,13.2,0.293,1.9,4.2,0.462,4.5,5.2,9.7,1.9,2.3,0.0,,6.1,9.7,,103.0,6.3,0.321,,0.317,8.4,11.7,9.9,6.1,2.3,0.0,,,-0.3,0.0,-0.2,-0.077,-5.6,-0.6,-6.1,-0.2,1974,https://www.basketball-reference.com/players/b/bridgbi01.html,bridgbi01,76253.0
10,Don Chaney,SG,27,BOS,18,,545,5.6,12.1,0.461,,,,5.6,12.1,0.461,3.5,4.3,0.82,3.2,3.4,6.6,3.4,2.1,0.8,,5.5,14.7,,93.0,12.5,0.525,,0.355,7.3,7.7,7.5,9.8,2.1,0.9,,,0.7,0.8,1.5,0.136,1.4,1.0,2.4,0.6,1974,https://www.basketball-reference.com/players/c/chanedo01.html,chanedo01,76379.0
11,Ken Charles,SG,22,BUF,2,,10,13.0,17.3,0.75,,,,13.0,17.3,0.75,0.0,0.0,,8.7,0.0,8.7,0.0,0.0,0.0,,8.7,26.0,,103.0,20.1,0.75,,0.0,19.1,0.0,9.4,0.0,0.0,0.0,,,0.0,0.0,0.0,0.181,5.2,-0.2,5.0,0.0,1974,https://www.basketball-reference.com/players/c/charlke01.html,charlke01,76383.0
12,Phil Chenier,SG,23,CAP,7,,310,10.1,22.2,0.453,,,,10.1,22.2,0.453,5.3,6.0,0.892,1.0,6.0,7.0,1.9,2.1,1.3,,3.1,25.5,,96.0,17.9,0.512,,0.27,2.1,12.3,7.3,6.3,2.1,1.4,,,0.6,0.4,0.9,0.146,1.8,1.3,3.0,0.4,1974,https://www.basketball-reference.com/players/c/cheniph01.html,cheniph01,76386.0
13,Archie Clark,PG,32,CAP,7,,162,6.2,18.3,0.339,,,,6.2,18.3,0.339,3.4,6.2,0.55,0.9,3.1,4.0,4.7,1.6,0.0,,4.0,15.8,,100.0,8.8,0.376,,0.339,2.0,6.3,4.2,13.4,1.6,0.0,,,-0.2,0.1,-0.1,-0.042,-3.7,-1.0,-4.8,-0.1,1974,https://www.basketball-reference.com/players/c/clarkar01.html,clarkar01,76397.0
14,Mel Counts,C,32,LAL,4,,34,8.2,16.4,0.5,,,,8.2,16.4,0.5,0.0,0.0,,2.7,5.5,8.2,2.7,2.7,2.7,,4.1,16.4,,99.0,14.9,0.5,,0.0,5.1,12.4,8.4,10.0,2.7,3.0,,,0.0,0.0,0.0,0.067,0.2,2.8,3.0,0.0,1974,https://www.basketball-reference.com/players/c/countme01.html,countme01,76458.0
