min1,teammate1,min2,teammate2,min3,teammate3,min4,teammate4,min5,teammate5,nba_id,year
622.0,2735,557.0,101107,554.0,2207,464.0,2746,374.0,201143,201151,2008
2299.0,2207,1887.0,2746,1824.0,101107,1210.0,2735,856.0,1710,201143,2008
1051.0,2207,937.0,2746,906.0,101107,838.0,201143,310.0,2735,1533,2008
2511.0,2746,2302.0,101107,2299.0,201143,1717.0,2735,1051.0,1533,2207,2008
1717.0,2207,1379.0,2746,1210.0,201143,1187.0,101107,704.0,2585,2735,2008
2511.0,2207,1945.0,101107,1887.0,201143,1379.0,2735,937.0,1533,2746,2008
124.0,2207,115.0,101107,,,,,,,953,2008
139.0,2735,138.0,2207,127.0,2746,,,,,201238,2008
2302.0,2207,1945.0,2746,1824.0,201143,1187.0,2735,906.0,1533,101107,2008
1035.0,2207,896.0,2746,856.0,201143,712.0,101107,579.0,2735,1710,2008
317.0,2735,219.0,2207,200.0,101107,184.0,2746,181.0,201143,101136,2008
293.0,2735,288.0,101128,249.0,2422,243.0,101107,239.0,2207,200749,2008
432.0,2735,426.0,2207,358.0,101107,321.0,2746,263.0,201143,1731,2008
704.0,2735,660.0,2207,548.0,101107,505.0,2746,279.0,201151,2585,2008
298.0,2067,246.0,1718,229.0,2754,219.0,951,195.0,1899,2243,2008
1040.0,1899,806.0,2754,715.0,1718,695.0,951,586.0,201175,2067,2008
601.0,1899,586.0,2067,505.0,2754,417.0,1718,394.0,951,201175,2008
1040.0,2067,972.0,1718,883.0,951,876.0,2754,668.0,200765,1899,2008
1712.0,1718,1569.0,200765,1540.0,708,1538.0,951,365.0,2754,2570,2008
2048.0,1718,1889.0,951,1704.0,200765,1540.0,2570,620.0,1899,708,2008
566.0,1899,473.0,2067,444.0,2754,331.0,1718,321.0,951,200796,2008
317.0,2735101,219.0,2207101,200.0,101107101,184.0,2746101,181.0,101201143,136,2008
2115.0,951,2052.0,200765,2048.0,708,1712.0,2570,972.0,1899,1718,2008
2052.0,1718,1834.0,951,1704.0,708,1569.0,2570,668.0,1899,200765,2008
2115.0,1718,1889.0,708,1834.0,200765,1538.0,2570,883.0,1899,951,2008
729.0,2549,631.0,1894,596.0,1749,596.0,1501,567.0,2624,208,2008
132.0,2067,132.0,1899,111.0,1718,,,,,1513,2008
876.0,1899,806.0,2067,629.0,1718,505.0,201175,467.0,708,2754,2008
1039.0,2544,708.0,2484,591.0,200789,440.0,2753,426.0,1800,2760,2008
1156.0,2550,967.0,2732,921.0,10200750,849.0,2804,827.0,2736,1112,2008
846.0,2544,777.0,2484,569.0,980,491.0,200789,426.0,2760,1800,2008
1258.0,2544,1040.0,980,960.0,2400,686.0,2484,591.0,2760,200789,2008
725.0,2544,486.0,1112,440.0,2760,410.0,1887,407.0,2484,2753,2008
1161.0,2544,802.0,980,777.0,1800,708.0,2760,686.0,200789,2484,2008
122.0,2863,120.0,2544,,,,,,,923,2008
1253.0,2544,1033.0,980,960.0,200789,803.0,1716,748.0,2562,2400,2008
274.0,1800,260.0,2484,229.0,2544,204.0,200789,113.0,1716,101204,2008
190.0,980,151.0,12039,138.0,12730,129.0,1956,124.0,12586,727,2008
411.0,2544,350.0,1716,340.0,980,249.0,2400,246.0,2484,1956,2008
767.0,1112,722.0,2550,648.0,2732,574.0,2768,560.0,2804,693,2008
1035.0,2544,824.0,980,803.0,2400,659.0,2736,547.0,201149,1716,2008
1697.0,980,1258.0,200789,1253.0,2400,1161.0,2484,1039.0,2760,2544,2008
880.0,980,851.0,2544,748.0,2400,517.0,200789,278.0,1716,2562,2008
115.0,2400,106.0,200789,,,,,,,200769,2008
656.0,2555,562.0,201145,514.0,201142,451.0,2248,443.0,2404,1887,2008
1697.0,2544,1040.0,200789,1033.0,2400,880.0,2562,824.0,1716,980,2008
501.0,2561,433.0,101108,428.0,2446,398.0,2199,397.0,2457,1517,2008
762.0,2397,587.0,1747,577.0,2203,513.0,2449,397.0,1503,1719,2008
2510.0,2561,2479.0,978,2439.0,2199,1629.0,2050,629.0,2457,101108,2008
2510.0,101108,2221.0,978,2173.0,2199,1535.0,2050,744.0,2457,2561,2008
431.0,2457,351.0,2561,328.0,2446,325.0,1517,316.0,101108,200756,2008
782.0,2199,744.0,2561,669.0,978,629.0,101108,453.0,201153,2457,2008
453.0,2457,311.0,2199,255.0,101108,227.0,2561,214.0,200756,201153,2008
398.0,2457,269.0,1517,266.0,101108,240.0,978,240.0,1763,2408,2008
343.0,1719,332.0,2397,327.0,2449,226.0,2203,217.0,101129,2229,2008
1629.0,101108,1590.0,978,1570.0,2199,1535.0,2561,165.0,2457,2050,2008
2479.0,101108,2221.0,2561,2200.0,2199,1590.0,2050,669.0,2457,978,2008
479.0,101108,474.0,2561,439.0,2199,428.0,1517,409.0,2457,2446,2008
452.0,2457,277.0,2199,265.0,1517,257.0,101108,240.0,2408,1763,2008
2439.0,101108,2200.0,978,2173.0,2561,1570.0,2050,782.0,2457,2199,2008
366.0,2732,332.0,2768,295.0,2804,288.0,200757,269.0,200748,201189,2008
133.0,201149,120.0,200757,105.0,2768,,,,,1559,2008
1186.0,2732,1157.0,2550,849.0,1112,826.0,2768,768.0,200757,2804,2008
1371.0,2736,1229.0,2550,1186.0,2804,967.0,1112,716.0,200748,2732,2008
1156.0,2550,967.0,2732,921.0,10200750,849.0,2804,827.0,2736,1112,2008
826.0,2804,673.0,1112,658.0,2732,616.0,200757,574.0,693,2768,2008
1253.0,2544,1033.0,980,960.0,200789,803.0,1716,748.0,2562,2400,2008
873.0,2550,767.0,2736,675.0,2732,650.0,2804,643.0,200757,201149,2008
767.0,1112,722.0,2550,648.0,2732,574.0,2768,560.0,2804,693,2008
1428.0,2736,1229.0,2732,1157.0,2804,1156.0,1112,873.0,201149,2550,2008
1035.0,2544,824.0,980,803.0,2400,659.0,2736,547.0,201149,1716,2008
1428.0,2550,1371.0,2732,827.0,1112,767.0,201149,740.0,2804,2736,2008
115.0,2400,106.0,200789,,,,,,,200769,2008
768.0,2804,643.0,201149,616.0,2768,587.0,2732,561.0,2550,200757,2008
779.0,2550,716.0,2732,567.0,2736,503.0,2804,491.0,2768,200748,2008
723.0,2210,719.0,467,547.0,1713,430.0,2411,364.0,201157,101120,2008
1176.0,1891,890.0,2572,666.0,1717,620.0,711,390.0,1904,101138,2008
592.0,1717,585.0,2572,529.0,1891,414.0,2734,356.0,711,2205,2008
565.0,1891,458.0,1717,390.0,101138,361.0,2572,294.0,956,1904,2008
1002.0,1717,859.0,2572,766.0,2210,702.0,1713,551.0,956,2734,2008
2071.0,2572,1723.0,1891,1344.0,956,1002.0,2734,950.0,711,1717,2008
2112.0,6101114,1887.0,8201142,1772.0,62430,1515.0,19056,1363.0,8201145,224,2008
1401.0,2572,1344.0,1717,1090.0,1891,672.0,467,556.0,711,956,2008
267.0,1717,228.0,2572,220.0,101138,211.0,1891,178.0,2205,200826,2008
179.0,2210,155.0,1713,145.0,2411,141.0,101120,130.0,467,2048,2008
1722.0,2210,1411.0,1713,930.0,200767,824.0,2572,764.0,201157,467,2008
1723.0,1717,1657.0,2572,1176.0,101138,1090.0,956,839.0,711,1891,2008
950.0,1717,902.0,2572,839.0,1891,620.0,101138,556.0,956,711,2008
2071.0,1717,1657.0,1891,1401.0,956,902.0,711,890.0,101138,2572,2008
448.0,23992,396.0,2101122,391.0,22112,277.0,19022,228.0,22553,436,2008
522.0,2210,467.0,1713,460.0,467,292.0,2411,291.0,2215,2124,2008
203.0,201154,135.0,1749,126.0,2470,116.0,1894,109.0,2424,201174,2008
280.0,1717,268.0,1891,226.0,2572,211.0,101138,205.0,2205,2239,2008
432.0,2735,426.0,2207,358.0,101107,321.0,2746,263.0,201143,1731,2008
2637.0,948,2529.0,2546,1962.0,2030,1687.0,1853,1496.0,101132,947,2008
1687.0,947,1554.0,948,1522.0,2546,1331.0,2030,616.0,101132,1853,2008
141.0,2747,136.0,2059,131.0,101132,105.0,200809,,,200784,2008
2529.0,947,2215.0,948,1721.0,2030,1522.0,1853,914.0,2059,2546,2008
259.0,101132,221.0,2059,194.0,947,162.0,2546,158.0,2747,1088,2008
1355.0,947,1008.0,101132,945.0,2747,914.0,2546,794.0,948,2059,2008
1048.0,947,945.0,2059,860.0,101132,667.0,2546,660.0,948,2747,2008
1962.0,947,1721.0,2546,1614.0,948,1331.0,1853,679.0,101132,2030,2008
1496.0,947,1008.0,2059,966.0,948,892.0,2546,860.0,2747,101132,2008
2637.0,947,2215.0,2546,1614.0,2030,1554.0,1853,966.0,101132,948,2008
220.0,947,194.0,101132,154.0,2546,122.0,2059,109.0,948,2403,2008
359.0,947,299.0,948,268.0,2546,241.0,2030,227.0,101132,200821,2008
1845.0,1884,1732.0,101145,1613.0,1536,965.0,2740,851.0,101235,1733,2008
1814.0,1884,1661.0,101145,1552.0,1536,965.0,1733,820.0,101235,2740,2008
271.0,101145,258.0,1884,217.0,1536,180.0,101235,167.0,2554,1506,2008
2502.0,101145,2387.0,1536,1845.0,1733,1814.0,2740,1185.0,101235,1884,2008
215.0,101145,192.0,1884,176.0,101235,147.0,1536,124.0,2440,201148,2008
180.0,1884,166.0,101235,163.0,2440,150.0,1536,139.0,1733,201228,2008
1687.0,9473,1554.0,9483,1522.0,32546,1331.0,32030,616.0,3101132,185,2008
139.0,200770,131.0,2756,101.0,977,,,,,2788,2008
1185.0,1884,1138.0,101145,1017.0,1536,851.0,1733,820.0,2740,101235,2008
107.0,101235,,,,,,,,,201158,2008
1058.0,1884,986.0,101145,881.0,1536,648.0,1733,573.0,101235,2440,2008
965.0,1884,951.0,101145,811.0,1536,604.0,2740,521.0,1733,2554,2008
2502.0,1884,2369.0,1536,1732.0,1733,1661.0,2740,1138.0,101235,101145,2008
233.0,1729,217.0,200809,169.0,201202,161.0,201161,134.0,2867,201186,2008
2387.0,1884,2369.0,101145,1613.0,1733,1552.0,2740,1017.0,101235,1536,2008
312.0,2449,285.0,101129,266.0,201171,258.0,1719,230.0,101236,201166,2008
501.0,2561,433.0,101108,428.0,2446,398.0,2199,397.0,2457,1517,2008
141.0,2747,136.0,2059,131.0,101132,105.0,200809,,,200784,2008
762.0,2397,587.0,1747,577.0,2203,513.0,2449,397.0,1503,1719,2008
433.0,1503,358.0,2203,297.0,101129,286.0,1747,266.0,201166,201171,2008
1177.0,2203,1058.0,1747,935.0,1503,823.0,2397,558.0,101129,101236,2008
656.0,182555,562.0,18201145,530.0,24272011,514.0,18201142,507.0,1503,87,2008
210.0,952,206.0,2742,183.0,2744,183.0,200783,164.0,201147,101123,2008
529.0,2744,502.0,200751,480.0,101155,385.0,2060,304.0,101119,2745,2008
1414.0,2203,1334.0,1503,1249.0,1747,730.0,2397,631.0,101129,2449,2008
800.0,2203,659.0,1747,631.0,2449,631.0,2397,558.0,101236,101129,2008
343.0,1719,332.0,2397,327.0,2449,226.0,2203,217.0,101129,2229,2008
2157.0,2203,1708.0,1503,1528.0,2397,1249.0,2449,1058.0,101236,1747,2008
2157.0,1747,1925.0,1503,1674.0,2397,1414.0,2449,1177.0,101236,2203,2008
140.0,2397,119.0,2203,119.0,1503,,,,,1883,2008
146.0,201166,133.0,101236,132.0,101129,104.0,201171,,,200779,2008
1925.0,2203,1708.0,1747,1334.0,2449,1155.0,2397,935.0,101236,1503,2008
1674.0,2203,1528.0,1747,1155.0,1503,823.0,101236,762.0,1719,2397,2008
235.0,1749,173.0,1501,147.0,1510,140.0,201154,121.0,1894,1425,2008
1412.0,1749,1121.0,1894,873.0,2549,844.0,1510,735.0,2424,201154,2008
1257.0,1749,1192.0,1894,911.0,2549,857.0,1501,844.0,201154,1510,2008
1494.0,1894,1339.0,1749,984.0,1501,911.0,1510,873.0,201154,2549,2008
1513.0,1749,1494.0,2549,1210.0,1501,1192.0,1510,1121.0,201154,1894,2008
1513.0,1894,1412.0,201154,1339.0,2549,1316.0,1501,1257.0,1510,1749,2008
735.0,201154,626.0,1749,492.0,1894,466.0,2624,426.0,2549,2424,2008
201.0,201154,173.0,1749,123.0,2470,102.0,1510,,,1882,2008
862.0,1749,731.0,201154,701.0,1894,548.0,1510,414.0,2624,2694,2008
203.0,201154,135.0,1749,126.0,2470,116.0,1894,109.0,2424,201174,2008
111.0,1749,,,,,,,,,200781,2008
814.0,1894,801.0,2549,701.0,1501,681.0,201154,657.0,1749,2624,2008
134.0,2549,,,,,,,,,2499,2008
227.0,2549,191.0,1749,165.0,1501,130.0,1510,122.0,201154,1739,2008
729.0,2549,631.0,1894,596.0,1749,596.0,1501,567.0,2624,208,2008
314.0,201154,284.0,1749,219.0,2694,190.0,1894,128.0,1729,2470,2008
